replica,profile,respondent_id,persona,theta,output,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,theta_hat,profile_hat,theta_imposed,profile_imp,profile_target,persona_target
1,novice,1ce5c5cc-c230-455b-823b-48a26b52f83f,"persona: strategy_sustainability Chief Sustainability Officer Agro-food supply chain ['Reduce GHG emissions', 'Ensure ESG compliance', 'Enhance corporate reputation']",-0.3271993019727897,"{
""1"": ""2"", ""2"": ""2"", ""3"": ""3"", ""4"": ""2"", ""5"": ""2"",
""6"": ""3"", ""7"": ""2"", ""8"": ""2"", ""9"": ""2"", ""10"": ""3"",
""11"": ""3"", ""12"": ""2"", ""13"": ""2"", ""14"": ""3"", ""15"": ""2"",
""16"": ""3"", ""17"": ""3"", ""18"": ""2"", ""19"": ""2"", ""20"": ""2"",
""21"": ""2"", ""22"": ""1""
}",2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,-0.37953473721322284,novice,-0.3271993019727897,novice,novice,"persona: strategy_sustainability Chief Sustainability Officer Agro-food supply chain ['Reduce GHG emissions', 'Ensure ESG compliance', 'Enhance corporate reputation']"
1,novice,15ba9701-5eba-47e4-918b-434ab1f955bd,"persona: strategy_technology Chief Technology Officer Agro-food supply chain ['Modernize digital architecture', 'Integrate blockchain with legacy systems', 'Strengthen data governance']",0.0086079323345155,"{
""1"": ""2"", ""2"": ""3"", ""3"": ""3"", ""4"": ""2"", ""5"": ""3"",
""6"": ""2"", ""7"": ""2"", ""8"": ""3"", ""9"": ""2"", ""10"": ""3"",
""11"": ""3"", ""12"": ""2"", ""13"": ""2"", ""14"": ""3"", ""15"": ""2"",
""16"": ""3"", ""17"": ""3"", ""18"": ""2"", ""19"": ""2"", ""20"": ""3"",
""21"": ""2"", ""22"": ""2""
}",2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,0.033841823093336165,intermediate,0.0086079323345155,intermediate,intermediate,"persona: strategy_technology Chief Technology Officer Agro-food supply chain ['Modernize digital architecture', 'Integrate blockchain with legacy systems', 'Strengthen data governance']"
1,novice,2bb6be40-aa4e-4e55-9c40-7faae6c96c23,"persona: operations Director of Operations Agro-food supply chain ['Optimize logistics cost', 'Guarantee end-to-end traceability', 'Maintain quality certifications']",0.9449825566055904,"{
""1"": ""3"", ""2"": ""3"", ""3"": ""3"", ""4"": ""3"", ""5"": ""3"",
""6"": ""3"", ""7"": ""3"", ""8"": ""3"", ""9"": ""3"", ""10"": ""3"",
""11"": ""3"", ""12"": ""3"", ""13"": ""3"", ""14"": ""3"", ""15"": ""3"",
""16"": ""3"", ""17"": ""3"", ""18"": ""3"", ""19"": ""3"", ""20"": ""3"",
""21"": ""3"", ""22"": ""3""
}",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.996507522515271,advanced,0.9449825566055904,advanced,advanced,"persona: operations Director of Operations Agro-food supply chain ['Optimize logistics cost', 'Guarantee end-to-end traceability', 'Maintain quality certifications']"
1,novice,d4aef519-2a51-4e5f-84b6-000d2cfcbc53,"persona: strategy_sustainability Chief Sustainability Officer Agro-food supply chain ['Reduce GHG emissions', 'Ensure ESG compliance', 'Enhance corporate reputation']",-0.1830069625544762,"{
""1"": ""2"", ""2"": ""2"", ""3"": ""3"", ""4"": ""2"", ""5"": ""3"",
""6"": ""2"", ""7"": ""2"", ""8"": ""3"", ""9"": ""2"", ""10"": ""3"",
""11"": ""2"", ""12"": ""2"", ""13"": ""2"", ""14"": ""3"", ""15"": ""2"",
""16"": ""3"", ""17"": ""3"", ""18"": ""2"", ""19"": ""2"", ""20"": ""3"",
""21"": ""2"", ""22"": ""2""
}",2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,-0.1851609898826947,intermediate,-0.1830069625544762,intermediate,intermediate,"persona: strategy_sustainability Chief Sustainability Officer Agro-food supply chain ['Reduce GHG emissions', 'Ensure ESG compliance', 'Enhance corporate reputation']"
1,novice,bbefe492-0d6b-4e37-a041-f3a66fd8da18,"persona: strategy_technology Chief Technology Officer Agro-food supply chain ['Modernize digital architecture', 'Integrate blockchain with legacy systems', 'Strengthen data governance']",-0.210922800150598,"{
""1"": ""2"", ""2"": ""2"", ""3"": ""3"", ""4"": ""2"", ""5"": ""3"",
""6"": ""2"", ""7"": ""2"", ""8"": ""3"", ""9"": ""2"", ""10"": ""3"",
""11"": ""3"", ""12"": ""2"", ""13"": ""2"", ""14"": ""3"", ""15"": ""2"",
""16"": ""3"", ""17"": ""3"", ""18"": ""2"", ""19"": ""2"", ""20"": ""2"",
""21"": ""2"", ""22"": ""1""
}",2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,-0.2206406018786002,novice,-0.210922800150598,novice,novice,"persona: strategy_technology Chief Technology Officer Agro-food supply chain ['Modernize digital architecture', 'Integrate blockchain with legacy systems', 'Strengthen data governance']"
1,novice,e02a8833-c561-4244-bf69-d1e4e5339ecc,"persona: operations Director of Operations Agro-food supply chain ['Optimize logistics cost', 'Guarantee end-to-end traceability', 'Maintain quality certifications']",1.6744223484546232,"{
""1"": ""4"", ""2"": ""4"", ""3"": ""4"", ""4"": ""3"", ""5"": ""4"", ""6"": ""3"", ""7"": ""3"", ""8"": ""4"", ""9"": ""3"", ""10"": ""4"",
""11"": ""4"", ""12"": ""3"", ""13"": ""3"", ""14"": ""4"", ""15"": ""3"", ""16"": ""4"", ""17"": ""4"", ""18"": ""4"", ""19"": ""3"", ""20"": ""3"",
""21"": ""3"", ""22"": ""3""
}",4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,1.6441805272981513,advanced,1.6744223484546232,advanced,advanced,"persona: operations Director of Operations Agro-food supply chain ['Optimize logistics cost', 'Guarantee end-to-end traceability', 'Maintain quality certifications']"
1,novice,c50892ab-0b50-4829-961a-637224b94248,"persona: strategy_sustainability Chief Sustainability Officer Agro-food supply chain ['Reduce GHG emissions', 'Ensure ESG compliance', 'Enhance corporate reputation']",-0.2928520162361405,"{
""1"": ""2"", ""2"": ""2"", ""3"": ""3"", ""4"": ""2"", ""5"": ""3"",
""6"": ""3"", ""7"": ""2"", ""8"": ""2"", ""9"": ""2"", ""10"": ""3"",
""11"": ""3"", ""12"": ""2"", ""13"": ""2"", ""14"": ""2"", ""15"": ""2"",
""16"": ""3"", ""17"": ""3"", ""18"": ""2"", ""19"": ""2"", ""20"": ""3"",
""21"": ""2"", ""22"": ""2""
}",2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,-0.3359675907648388,novice,-0.2928520162361405,novice,novice,"persona: strategy_sustainability Chief Sustainability Officer Agro-food supply chain ['Reduce GHG emissions', 'Ensure ESG compliance', 'Enhance corporate reputation']"
1,novice,2eefd2d7-4c77-42d8-89b9-03b6c282cad3,"persona: strategy_technology Chief Technology Officer Agro-food supply chain ['Modernize digital architecture', 'Integrate blockchain with legacy systems', 'Strengthen data governance']",-0.5578311407587797,"{
""1"": ""2"", ""2"": ""2"", ""3"": ""3"", ""4"": ""2"", ""5"": ""3"", ""6"": ""2"", ""7"": ""2"", ""8"": ""2"", ""9"": ""2"", ""10"": ""3"",
""11"": ""2"", ""12"": ""2"", ""13"": ""2"", ""14"": ""2"", ""15"": ""2"", ""16"": ""3"", ""17"": ""2"", ""18"": ""2"", ""19"": ""2"", ""20"": ""2"",
""21"": ""2"", ""22"": ""2""
}",2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,-0.6004780850404301,novice,-0.5578311407587797,novice,novice,"persona: strategy_technology Chief Technology Officer Agro-food supply chain ['Modernize digital architecture', 'Integrate blockchain with legacy systems', 'Strengthen data governance']"
1,novice,5a327f34-531f-48bb-a741-f11197b8a5f5,"persona: operations Director of Operations Agro-food supply chain ['Optimize logistics cost', 'Guarantee end-to-end traceability', 'Maintain quality certifications']",0.1907922780944755,"{
""1"": ""3"", ""2"": ""3"", ""3"": ""3"", ""4"": ""2"", ""5"": ""3"",
""6"": ""3"", ""7"": ""2"", ""8"": ""3"", ""9"": ""2"", ""10"": ""3"",
""11"": ""3"", ""12"": ""2"", ""13"": ""2"", ""14"": ""3"", ""15"": ""2"",
""16"": ""3"", ""17"": ""3"", ""18"": ""2"", ""19"": ""3"", ""20"": ""2"",
""21"": ""2"", ""22"": ""2""
}",3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,0.19643485519853124,intermediate,0.1907922780944755,intermediate,intermediate,"persona: operations Director of Operations Agro-food supply chain ['Optimize logistics cost', 'Guarantee end-to-end traceability', 'Maintain quality certifications']"
1,novice,3536e44d-9895-4680-9a7a-7811712bb691,"persona: strategy_sustainability Chief Sustainability Officer Agro-food supply chain ['Reduce GHG emissions', 'Ensure ESG compliance', 'Enhance corporate reputation']",-1.213984333423682,"{
""1"": ""2"", ""2"": ""2"", ""3"": ""2"", ""4"": ""2"", ""5"": ""2"",
""6"": ""2"", ""7"": ""1"", ""8"": ""2"", ""9"": ""1"", ""10"": ""2"",
""11"": ""2"", ""12"": ""1"", ""13"": ""2"", ""14"": ""2"", ""15"": ""1"",
""16"": ""2"", ""17"": ""2"", ""18"": ""1"", ""19"": ""2"", ""20"": ""2"",
""21"": ""1"", ""22"": ""1""
}",2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,-1.1471985842944155,novice,-1.213984333423682,novice,novice,"persona: strategy_sustainability Chief Sustainability Officer Agro-food supply chain ['Reduce GHG emissions', 'Ensure ESG compliance', 'Enhance corporate reputation']"
